ocn1	canonical_name	relation	renamed_from	renamed_to	date	author	commit	commit_subject	source_ref	evidence_grade
C.Pet.Cls.Bd3.Nc6.O-O.Mrc	Petrov, Classical Attack, Maróczy Variation	renamed	Russian Game: Classical Attack, Maróczy Variation	Petrov's Defense: Classical Attack, Maróczy Variation	2024-06-12	Niklas Fiekas	b088bdd5a	Russian game -> Petrov's defense (closes #176)	https://github.com/lichess-org/chess-openings/commit/b088bdd5a	attested
C.Pet.Cls.MLn.O-O	Petrov Classical, Main Line, O-O	renamed	Russian Game: Classical Attack, Mason Variation	Petrov's Defense: Classical Attack, Mason Variation	2024-06-12	Niklas Fiekas	b088bdd5a	Russian game -> Petrov's defense (closes #176)	https://github.com/lichess-org/chess-openings/commit/b088bdd5a	attested
C.Pet.Coc	Petrov, Cochrane Gambit	renamed	Russian Game: Cochrane Gambit	Petrov's Defense: Cochrane Gambit	2024-06-12	Niklas Fiekas	b088bdd5a	Russian game -> Petrov's defense (closes #176)	https://github.com/lichess-org/chess-openings/commit/b088bdd5a	attested
C.Pet.Coc.Bc4	Petrov Cochrane, Bishop Check Line	renamed	Russian Game: Cochrane Gambit, Bishop Check Line	Petrov's Defense: Cochrane Gambit, Bishop Check Line	2024-06-12	Niklas Fiekas	b088bdd5a	Russian game -> Petrov's defense (closes #176)	https://github.com/lichess-org/chess-openings/commit/b088bdd5a	attested
C.Pet.Coc.Kin	Petrov Cochrane, King Walk	renamed	Russian Game: Cochrane Gambit, Center Variation	Petrov's Defense: Cochrane Gambit, Center Variation	2024-06-12	Niklas Fiekas	b088bdd5a	Russian game -> Petrov's defense (closes #176)	https://github.com/lichess-org/chess-openings/commit/b088bdd5a	attested
C.Pet.Mod	Petrov, Modern Attack	renamed	Russian Game: Modern Attack	Petrov's Defense: Modern Attack	2024-06-12	Niklas Fiekas	b088bdd5a	Russian game -> Petrov's defense (closes #176)	https://github.com/lichess-org/chess-openings/commit/b088bdd5a	attested
C.Pet.Mod.Nxe4.Bd3	Petrov Modern Nxe4, Bd3	renamed	Russian Game: Modern Attack, Center Variation	Petrov's Defense: Modern Attack, Center Variation	2024-06-12	Niklas Fiekas	b088bdd5a	Russian game -> Petrov's defense (closes #176)	https://github.com/lichess-org/chess-openings/commit/b088bdd5a	attested
C.Pet.Mod.Nxe4.Bd3.Nc6	Petrov Modern Bd3, Murrey	renamed	Russian Game: Modern Attack, Murrey Variation	Petrov's Defense: Modern Attack, Murrey Variation	2024-06-12	Niklas Fiekas	b088bdd5a	Russian game -> Petrov's defense (closes #176)	https://github.com/lichess-org/chess-openings/commit/b088bdd5a	attested
C.Pet.Mod.Stn.Bb5	Petrov Modern, Tal Gambit	renamed	Russian Game: Modern Attack, Tal Gambit	Petrov's Defense: Modern Attack, Tal Gambit	2024-06-12	Niklas Fiekas	b088bdd5a	Russian game -> Petrov's defense (closes #176)	https://github.com/lichess-org/chess-openings/commit/b088bdd5a	attested
C.Pet.Mod.Stn.Qe2	Petrov Modern Steinitz, Qe2	renamed	Russian Game: Modern Attack, Steinitz Variation	Petrov's Defense: Modern Attack, Steinitz Variation	2024-06-12	Niklas Fiekas	b088bdd5a	Russian game -> Petrov's defense (closes #176)	https://github.com/lichess-org/chess-openings/commit/b088bdd5a	attested
