ocn1	white	white_elo	black	black_elo	year	result	lichess_id	url
B.Sic.Mor	Carlsen, Magnus	2863	Ding, Liren	2791	2020	1/2-1/2	Duq7YtG9	https://lichess.org/Duq7YtG9
B.Sic.Mor	Vachier Lagrave, M.	2780	Carlsen, M.	2872	2019	1/2-1/2	vWr95Ltv	https://lichess.org/vWr95Ltv
B.Sic.Alp	Carlsen, M..	2862	Nepomniachtchi, I..	2784	2020	1-0	aQzCUaqm	https://lichess.org/aQzCUaqm
B.Sic.Alp	Nepomniachtchi, I.	2779	Carlsen, M.	2853	2023	0-1	4boqPNUD	https://lichess.org/4boqPNUD
B.Sic.Alp	Carlsen, M..	2862	Giri, A..	2764	2020	1/2-1/2	kjeXLQ1j	https://lichess.org/kjeXLQ1j
B.Sic.Alp	Carlsen, M.	2840	Giri, A.	2760	2025	1/2-1/2	pEOSwU5b	https://lichess.org/pEOSwU5b
B.Sic.SmM	Nakamura, Hi	2788	Vachier Lagrave, M.	2731	2023	1-0	bQDZlxgx	https://lichess.org/bQDZlxgx
B.Sic.SmM	Naroditsky, D.	2616	Van Foreest, Jorden	2714	2022	1/2-1/2	MZtoGHrW	https://lichess.org/MZtoGHrW
B.Sic.SmM	Adams, Michael	2610	Anand, Viswanathan	2690	1992	0-1	T9j0z3kT	https://lichess.org/T9j0z3kT
B.Sic.SmM	Pantsulaia, L.	2604	Jobava, Ba	2672	2016	1/2-1/2	UMxwAw7D	https://lichess.org/UMxwAw7D
B.Sic.Cls.Rch	Carlsen, M.	2830	Nakamura, Hi	2795	2024	1/2-1/2	qA1UriE0	https://lichess.org/qA1UriE0
B.Sic.Cls.Rch	Anand, V.	2776	Carlsen, M.	2843	2018	1/2-1/2	3mXymgBl	https://lichess.org/3mXymgBl
B.Sic.Cls.Rch	Carlsen, M..	2847	Radjabov, T..	2765	2021	1/2-1/2	Vv32s0zJ	https://lichess.org/Vv32s0zJ
B.Sic.Cls.Rch	Anand, V.	2764	Caruana, F.	2819	2019	1-0	jl99WINz	https://lichess.org/jl99WINz
B.Sic.OKn	Carlsen, M.	2876	Grischuk, A.	2781	2015	1-0	jMVMo1Ua	https://lichess.org/jMVMo1Ua
B.Sic.OKn	Carlsen, Magnus	2863	Ding, Liren	2791	2020	1-0	BTVJpaP6	https://lichess.org/BTVJpaP6
B.Sic.OKn	Ding, Liren	2791	Carlsen, Magnus	2863	2020	0-1	6ra0xjZ4	https://lichess.org/6ra0xjZ4
B.Sic.OKn	Ding, Liren	2791	Carlsen, Magnus	2863	2020	1-0	vDq0pmw3	https://lichess.org/vDq0pmw3
B.CaK	Carlsen, M.	2856	Firouzja, Alireza	2804	2021	1-0	YVtNDDGm	https://lichess.org/YVtNDDGm
B.CaK	Ding, Liren	2791	Carlsen, Magnus	2863	2020	1/2-1/2	b2Xfc6Wq	https://lichess.org/b2Xfc6Wq
B.CaK	Ding, Liren	2791	Carlsen, Magnus	2863	2020	1-0	dlIJafzl	https://lichess.org/dlIJafzl
B.CaK	Carlsen, M.	2832	So, W.	2815	2017	1-0	BniKX8rH	https://lichess.org/BniKX8rH
B.CaK.Adv	Carlsen, M.	2856	Firouzja, Alireza	2804	2021	1-0	YVtNDDGm	https://lichess.org/YVtNDDGm
